AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-7011,Cabinetmakers and Bench Carpenters,detailed,"79,540",1.7,,,,,22.82,"47,460",0.5,16.69,18.38,22.12,25.97,30.40,"34,700","38,240","46,020","54,010","63,220",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-7020,Furniture Finishers,broad,"14,230",3.7,,,,,21.31,"44,310",0.8,15.00,17.68,20.45,23.57,28.76,"31,200","36,770","42,530","49,020","59,820",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-7021,Furniture Finishers,detailed,"14,230",3.7,,,,,21.31,"44,310",0.8,15.00,17.68,20.45,23.57,28.76,"31,200","36,770","42,530","49,020","59,820",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-7030,"Model Makers and Patternmakers, Wood",broad,530,9.7,,,,,28.44,"59,160",3.1,16.93,20.19,24.96,37.59,43.54,"35,210","41,980","51,920","78,190","90,560",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-7031,"Model Makers, Wood",detailed,360,12.5,,,,,28.74,"59,780",4.0,11.88,19.43,24.93,38.65,46.08,"24,710","40,420","51,850","80,380","95,850",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-7032,"Patternmakers, Wood",detailed,180,22.4,,,,,27.84,"57,920",4.7,19.58,21.85,25.25,37.22,40.06,"40,730","45,450","52,520","77,410","83,330",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-7040,"Woodworking Machine Setters, Operators, and Tenders",broad,"106,490",1.5,,,,,20.35,"42,330",0.3,14.62,17.30,19.38,22.91,26.62,"30,410","35,970","40,300","47,660","55,360",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",detailed,"43,140",1.8,,,,,20.38,"42,390",0.5,14.27,17.09,19.21,22.97,27.19,"29,670","35,550","39,950","47,770","56,560",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",detailed,"63,350",2.3,,,,,20.33,"42,290",0.4,14.87,17.43,19.44,22.91,26.13,"30,920","36,260","40,440","47,650","54,340",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-7090,Miscellaneous Woodworkers,broad,"6,590",6.5,,,,,21.03,"43,730",1.4,14.65,17.26,19.82,23.47,29.27,"30,470","35,890","41,220","48,820","60,870",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-7099,"Woodworkers, All Other",detailed,"6,590",6.5,,,,,21.03,"43,730",1.4,14.65,17.26,19.82,23.47,29.27,"30,470","35,890","41,220","48,820","60,870",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-8000,Plant and System Operators,minor,"287,720",0.9,,,,,36.29,"75,480",0.4,20.65,25.14,34.01,46.83,53.88,"42,950","52,290","70,740","97,400","112,070",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-8010,"Power Plant Operators, Distributors, and Dispatchers",broad,"45,630",1.7,,,,,49.09,"102,100",0.5,30.14,39.31,49.81,58.17,65.14,"62,690","81,760","103,600","120,990","135,500",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-8011,Nuclear Power Reactor Operators,detailed,"5,720",1.0,,,,,59.05,"122,830",0.2,47.74,51.52,58.95,63.23,73.41,"99,300","107,170","122,610","131,520","152,690",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-8012,Power Distributors and Dispatchers,detailed,"9,180",4.7,,,,,52.70,"109,620",0.8,34.02,44.07,51.56,61.87,69.66,"70,760","91,670","107,240","128,690","144,900",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-8013,Power Plant Operators,detailed,"30,720",2.1,,,,,46.15,"95,990",0.6,28.81,37.21,47.92,53.84,61.90,"59,930","77,400","99,670","111,980","128,760",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-8020,Stationary Engineers and Boiler Operators,broad,"30,780",1.9,,,,,38.32,"79,710",0.7,22.75,28.90,36.15,46.36,58.27,"47,310","60,110","75,190","96,420","121,200",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-8021,Stationary Engineers and Boiler Operators,detailed,"30,780",1.9,,,,,38.32,"79,710",0.7,22.75,28.90,36.15,46.36,58.27,"47,310","60,110","75,190","96,420","121,200",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-8030,Water and Wastewater Treatment Plant and System Operators,broad,"126,750",1.1,,,,,29.15,"60,620",0.4,18.21,22.61,28.01,34.27,41.42,"37,870","47,020","58,260","71,280","86,160",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-8031,Water and Wastewater Treatment Plant and System Operators,detailed,"126,750",1.1,,,,,29.15,"60,620",0.4,18.21,22.61,28.01,34.27,41.42,"37,870","47,020","58,260","71,280","86,160",,
